bin,timestamp_index,bin_death_index,pageid,timestamp,views,views_adjusted,share
5,38,-1,7218368,20200208,10496,9764,0.00000562
6,45,0,7218368,20200215,2876579,2685711,0.00155376
7,52,1,7218368,20200222,185220,177535,0.00010233
8,59,2,7218368,20200229,76787,74417,0.00004293
9,66,3,7218368,20200307,63900,63799,0.00003684
10,73,4,7218368,20200314,44003,44933,0.00002581
11,80,5,7218368,20200321,34657,31386,0.00001805
12,87,6,7218368,20200328,35823,29593,0.00001704
13,94,7,7218368,20200404,35688,28047,0.00001615
14,101,8,7218368,20200411,35700,28546,0.00001642
15,108,9,7218368,20200418,38039,30576,0.00001765
16,115,10,7218368,20200425,41344,33730,0.00001927
17,122,11,7218368,20200502,36593,32315,0.00001864
18,129,12,7218368,20200509,32878,29769,0.00001716
19,136,13,7218368,20200516,33261,31209,0.00001798
20,143,14,7218368,20200523,35779,34575,0.00001997
21,150,15,7218368,20200530,28737,28875,0.00001662
22,157,16,7218368,20200606,35373,34976,0.00002024
23,164,17,7218368,20200613,29077,29562,0.00001703
24,171,18,7218368,20200620,28220,29693,0.00001710
25,178,19,7218368,20200627,36612,38485,0.00002209
26,185,20,7218368,20200704,31255,32012,0.00001842
27,192,21,7218368,20200711,29379,30066,0.00001731
28,199,22,7218368,20200718,30437,31278,0.00001797
29,206,23,7218368,20200725,32503,33818,0.00001946
30,213,24,7218368,20200801,118193,128294,0.00007265
31,220,25,7218368,20200808,44425,46521,0.00002675
32,227,26,7218368,20200815,30116,30973,0.00001789
33,234,27,7218368,20200822,30534,31247,0.00001801
34,241,28,7218368,20200829,27516,28499,0.00001645
35,248,29,7218368,20200905,24236,25216,0.00001453
36,255,30,7218368,20200912,28348,29507,0.00001700
37,262,31,7218368,20200919,25391,26104,0.00001503
38,269,32,7218368,20200926,22964,23833,0.00001373
39,276,33,7218368,20201003,26023,26182,0.00001507
40,283,34,7218368,20201010,87179,86154,0.00004927
41,290,35,7218368,20201017,30444,29730,0.00001715
42,297,36,7218368,20201024,26575,25713,0.00001481
43,304,37,7218368,20201031,23439,22197,0.00001273
44,311,38,7218368,20201107,52581,48009,0.00002762
45,318,39,7218368,20201114,55607,52051,0.00003001
46,325,40,7218368,20201121,32992,31380,0.00001813
47,332,41,7218368,20201128,28380,27521,0.00001582
48,339,42,7218368,20201205,30813,30424,0.00001749
49,346,43,7218368,20201212,34116,34203,0.00001969
50,353,44,7218368,20201219,68325,72675,0.00004140
51,360,45,7218368,20201226,72744,70682,0.00004069
52,367,46,7218368,20210102,57281,53689,0.00003078
53,374,47,7218368,20210109,35549,32985,0.00001906
